Metric,Value,Date (if applicable)
Average Price,0.8842681145962373,
Percentage Change (%),0.5779999278222913,30/12/2022
Highest Price,1.078070044517517,04/01/2022
Lowest Price,0.7071740031242371,29/08/2022
