Metric,Value,Date (if applicable)
Average Price,35.86115786885167,
Percentage Change (%),-0.5424129774904093,29/12/2023
Highest Price,198.11000061035156,14/12/2023
Lowest Price,0.23428599536418915,17/04/2003
